Draw number,Draw date,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Winning Number 7,Powerball Number
1391,2023-01-12,18,22,34,3,30,10,29,5
1392,2023-01-19,35,32,34,19,3,30,21,1
1393,2023-01-26,31,30,28,15,1,33,21,16
1394,2023-02-02,7,35,31,2,24,21,15,18
1395,2023-02-09,32,35,11,28,8,16,3,13
1396,2023-02-16,5,8,12,13,35,20,21,8
1397,2023-02-23,6,5,3,11,30,26,24,9
1398,2023-03-02,18,14,13,16,21,19,29,18
1399,2023-03-09,7,10,27,33,30,20,17,1
1400,2023-03-16,32,17,29,34,28,3,22,18
1401,2023-03-23,26,4,7,5,18,25,19,15
1402,2023-03-30,12,5,6,7,13,35,11,15
1403,2023-04-06,30,33,24,6,21,12,17,10
1404,2023-04-13,27,33,19,29,5,12,15,4
1405,2023-04-20,32,30,12,18,1,13,24,6
1406,2023-04-27,30,16,27,6,33,19,28,17
1407,2023-05-04,35,31,20,18,13,2,34,9
1408,2023-05-11,8,15,9,18,3,28,12,14
1409,2023-05-18,3,19,6,33,11,20,7,18
1410,2023-05-25,17,20,30,29,27,12,8,6
1411,2023-06-01,14,23,19,31,6,28,34,3
1412,2023-06-08,17,15,28,12,22,21,20,11
1413,2023-06-15,20,11,13,9,2,25,31,2
1414,2023-06-22,22,3,5,23,4,14,6,17
1415,2023-06-29,3,28,8,18,5,24,1,2
1416,2023-07-06,12,28,7,16,10,20,17,20
1417,2023-07-13,19,3,29,17,27,30,11,15
1418,2023-07-20,7,29,14,4,32,27,9,17
1419,2023-07-27,19,14,18,22,16,4,33,18
1420,2023-08-03,13,7,18,1,23,25,33,7
1421,2023-08-10,11,24,9,23,18,16,10,9
1422,2023-08-17,24,12,30,26,10,17,21,10
1423,2023-08-24,8,17,18,20,11,3,33,7
1424,2023-08-31,10,35,27,32,6,14,31,6
