Combination,Count,Date Range
4-6-6,34,28/06/1999 - 20/12/2023
3-7-7,34,06/06/1999 - 23/07/2024
2-7-7,34,25/01/1999 - 29/09/2024
1-9-9,34,30/12/1998 - 06/02/2024
5-9-9,33,18/05/1999 - 11/10/2024
3-8-8,33,18/12/1998 - 01/12/2021
6-6-7,32,29/12/1999 - 16/05/2024
4-4-6,32,20/02/2000 - 17/09/2024
0-7-7,32,24/08/1999 - 27/06/2024
1-1-3,32,31/05/1999 - 01/08/2024
2-2-9,31,22/02/2000 - 23/11/2023
2-2-7,31,17/05/1999 - 03/04/2024
4-4-7,31,21/05/1999 - 02/09/2024
7-7-8,31,04/07/2000 - 22/09/2024
1-1-2,30,20/12/1999 - 19/04/2023
2-6-6,30,10/11/1998 - 17/08/2024
1-1-7,30,28/05/2000 - 11/06/2024
0-0-4,30,16/03/1999 - 03/11/2023
2-2-4,30,10/01/1999 - 21/03/2022
1-1-5,29,30/03/1999 - 08/08/2024
3-5-5,29,20/07/1999 - 11/05/2024
4-4-5,29,28/05/1999 - 31/10/2023
0-0-7,28,09/07/1999 - 13/08/2024
0-0-2,28,22/12/2000 - 15/09/2024
6-9-9,28,06/04/1999 - 20/01/2021
7-7-9,28,28/11/2001 - 13/12/2021
8-9-9,28,11/02/2000 - 08/03/2022
0-9-9,28,09/04/1999 - 14/10/2020
1-4-4,28,02/12/1998 - 10/12/2023
5-8-8,27,19/11/2000 - 15/10/2024
6-7-7,27,23/04/1999 - 01/12/2023
6-6-9,27,16/02/1999 - 20/08/2024
5-5-8,27,22/08/1999 - 26/03/2023
0-4-4,27,30/03/2000 - 28/10/2023
0-0-3,27,09/02/1999 - 10/09/2024
2-2-5,27,04/06/2001 - 16/09/2024
3-3-5,27,14/05/1999 - 30/10/2022
2-2-8,26,30/05/1999 - 01/06/2024
1-6-6,26,25/08/2001 - 02/05/2024
0-0-9,26,13/12/1998 - 13/08/2022
1-1-4,26,05/12/1999 - 07/11/2023
4-8-8,26,21/06/1999 - 13/09/2024
3-4-4,26,18/04/1999 - 11/07/2022
1-5-5,25,18/06/1999 - 19/06/2024
3-3-9,25,06/07/2000 - 06/05/2024
4-7-7,24,01/12/1999 - 27/11/2022
2-9-9,24,09/06/1999 - 13/04/2024
3-3-8,24,21/11/1998 - 26/04/2023
0-2-2,24,17/04/1999 - 17/02/2024
6-8-8,23,13/05/1999 - 15/02/2024
0-1-1,23,13/08/1999 - 13/08/2023
1-3-3,23,29/11/1999 - 16/12/2023
2-2-3,23,15/10/2002 - 31/07/2024
4-4-8,23,24/03/1999 - 09/07/2023
2-8-8,22,29/03/1999 - 15/10/2023
3-3-6,22,25/12/2000 - 05/10/2022
3-3-7,22,02/11/2000 - 20/05/2023
0-8-8,22,09/08/1999 - 24/02/2022
3-3-4,22,19/10/2000 - 16/10/2020
2-3-3,22,24/02/2000 - 25/01/2024
3-6-6,21,20/09/1999 - 27/12/2022
5-5-9,20,28/07/2002 - 28/07/2024
0-3-3,20,24/01/2000 - 27/07/2023
5-5-7,18,05/09/1999 - 28/11/2023
2-2-6,17,07/12/1999 - 09/09/2024
4-5-5,17,10/08/2000 - 07/09/2021
0-0-5,16,28/01/1999 - 16/04/2024
2-2-2,13,06/03/1999 - 07/06/2024
6-6-6,11,02/08/2001 - 16/08/2024
8-8-8,11,17/12/1999 - 31/03/2024
5-5-5,9,13/06/2000 - 10/09/2021
9-9-9,8,27/01/1999 - 21/06/2024
1-1-1,8,11/02/2002 - 10/04/2022
4-4-4,7,24/04/2000 - 27/04/2024
3-3-3,7,03/10/2002 - 03/01/2020
0-0-0,5,05/09/2001 - 13/10/2017
7-7-7,4,21/03/2000 - 14/12/2006
